x,y,z,vz
0,3,46,-4.29123158e+00
0,3,47,-4.39406010e+00
0,3,48,-4.55837160e+00
0,3,49,-4.84691482e+00
0,3,50,-5.74778024e+00
0,3,51,nan
0,3,52,nan
0,3,53,nan
0,3,54,nan
0,3,55,nan
0,3,56,nan
0,3,57,nan
0,3,58,nan
0,3,59,nan
0,3,60,nan
0,3,61,nan
0,3,62,nan
0,3,63,nan
0,3,64,nan
0,3,65,nan
0,3,66,nan
0,3,67,nan
0,3,68,nan
0,3,69,nan
0,3,70,nan
0,3,71,nan
0,3,72,nan
0,3,73,nan
0,3,74,nan
0,3,75,nan
0,3,76,nan
0,3,77,nan
0,3,78,nan
0,3,79,nan
0,3,80,nan
0,3,81,nan
0,3,82,nan
0,3,83,nan
0,3,84,nan
0,3,85,nan
0,3,86,nan
0,3,87,nan
0,3,88,nan
0,3,89,nan
0,3,90,nan
0,3,91,nan
0,3,92,nan
0,3,93,nan
0,3,94,nan
0,3,95,nan
0,3,96,nan
0,3,97,nan
0,3,98,nan
0,3,99,nan
0,4,0,-4.88361192e+00
0,4,1,-4.38802434e+00
0,4,2,-4.19489396e+00
0,4,3,-4.09882360e+00
0,4,4,-4.05590138e+00
0,4,5,-4.04554051e+00
0,4,6,-4.04872010e+00
0,4,7,-4.05583507e+00
0,4,8,-4.05952291e+00
0,4,9,-4.04898493e+00
0,4,10,-4.02146968e+00
0,4,11,-3.98994894e+00
0,4,12,-3.97399859e+00
0,4,13,-3.97411054e+00
0,4,14,-3.98492694e+00
0,4,15,-4.00176595e+00
0,4,16,-4.01335891e+00
0,4,17,-4.01689040e+00
0,4,18,-4.01594516e+00
0,4,19,-4.01605187e+00
0,4,20,-4.02492878e+00
0,4,21,-4.04822481e+00
0,4,22,-4.07853599e+00
0,4,23,-4.09664889e+00
0,4,24,-4.09739289e+00
0,4,25,-4.09132277e+00
0,4,26,-4.08501038e+00
0,4,27,-4.08202791e+00
0,4,28,-4.08845208e+00
0,4,29,-4.10735218e+00
0,4,30,-4.13925215e+00
0,4,31,-4.17789422e+00
0,4,32,-4.21472496e+00
0,4,33,-4.23449773e+00
0,4,34,-4.23500000e+00
0,4,35,-4.22452481e+00
0,4,36,-4.20928936e+00
0,4,37,-4.19375023e+00
0,4,38,-4.17992913e+00
0,4,39,-4.16781517e+00
0,4,40,-4.15750979e+00
0,4,41,-4.15087534e+00
0,4,42,-4.15023690e+00
0,4,43,-4.15846438e+00
0,4,44,-4.18269395e+00
0,4,45,-4.22739361e+00
0,4,46,-4.29646707e+00
0,4,47,-4.40624000e+00
0,4,48,-4.57639559e+00
0,4,49,-4.86640805e+00
0,4,50,-5.68155377e+00
0,4,51,nan
0,4,52,nan
0,4,53,nan
0,4,54,nan
0,4,55,nan
0,4,56,nan
0,4,57,nan
0,4,58,nan
0,4,59,nan
0,4,60,nan
0,4,61,nan
0,4,62,nan
0,4,63,nan
0,4,64,nan
0,4,65,nan
0,4,66,nan
0,4,67,nan
0,4,68,nan
0,4,69,nan
0,4,70,nan
0,4,71,nan
0,4,72,nan
0,4,73,nan
0,4,74,nan
0,4,75,nan
0,4,76,nan
0,4,77,nan
0,4,78,nan
0,4,79,nan
0,4,80,nan
0,4,81,nan
0,4,82,nan
0,4,83,nan
0,4,84,nan
0,4,85,nan
0,4,86,nan
0,4,87,nan
0,4,88,nan
0,4,89,nan
0,4,90,nan
0,4,91,nan
0,4,92,nan
0,4,93,nan
0,4,94,nan
0,4,95,nan
0,4,96,nan
0,4,97,nan
0,4,98,nan
0,4,99,nan
0,5,0,-4.93023149e+00
0,5,1,-4.40747053e+00
0,5,2,-4.20664639e+00
0,5,3,-4.10335196e+00
0,5,4,-4.05255842e+00
0,5,5,-4.03597744e+00
0,5,6,-4.03579641e+00
0,5,7,-4.04234705e+00
0,5,8,-4.04718259e+00
0,5,9,-4.04320615e+00
0,5,10,-4.02401103e+00
0,5,11,-3.99591859e+00
0,5,12,-3.97762635e+00
0,5,13,-3.97470698e+00
0,5,14,-3.98169103e+00
0,5,15,-3.99433518e+00
0,5,16,-4.00519171e+00
0,5,17,-4.01108544e+00
0,5,18,-4.01279229e+00
0,5,19,-4.01480167e+00
0,5,20,-4.02573317e+00
0,5,21,-4.05042221e+00
0,5,22,-4.08259041e+00
0,5,23,-4.10516730e+00
0,5,24,-4.10955229e+00
0,5,25,-4.10450856e+00
0,5,26,-4.09856830e+00
0,5,27,-4.09331769e+00
0,5,28,-4.09232493e+00
0,5,29,-4.10369682e+00
0,5,30,-4.13296476e+00
0,5,31,-4.17385545e+00
0,5,32,-4.21260914e+00
0,5,33,-4.23210317e+00
0,5,34,-4.23089102e+00
0,5,35,-4.21671332e+00
0,5,36,-4.19640310e+00
0,5,37,-4.18095214e+00
0,5,38,-4.16924278e+00
0,5,39,-4.15890989e+00
0,5,40,-4.14957494e+00
0,5,41,-4.14404180e+00
0,5,42,-4.14447754e+00
0,5,43,-4.15513062e+00
0,5,44,-4.18294507e+00
0,5,45,-4.23171073e+00
0,5,46,-4.30592282e+00
0,5,47,-4.42028976e+00
0,5,48,-4.59513838e+00
0,5,49,-4.88787852e+00
0,5,50,-5.61898220e+00
0,5,51,nan
0,5,52,nan
0,5,53,nan
0,5,54,nan
0,5,55,nan
0,5,56,nan
0,5,57,nan
0,5,58,nan
0,5,59,nan
0,5,60,nan
0,5,61,nan
0,5,62,nan
0,5,63,nan
0,5,64,nan
0,5,65,nan
0,5,66,nan
0,5,67,nan
0,5,68,nan
0,5,69,nan
0,5,70,nan
0,5,71,nan
0,5,72,nan
