x,y,z,Fx
0,9,18,6.00766896e+01
0,9,19,5.93135735e+01
0,9,20,nan
0,9,21,nan
0,9,22,5.65385777e+01
0,9,23,nan
0,9,24,6.09606482e+01
0,9,25,6.18955396e+01
0,9,26,nan
0,9,27,5.83206273e+01
0,9,28,6.12059191e+01
0,9,29,nan
0,9,30,nan
0,9,31,nan
0,9,32,5.62389416e+01
0,9,33,nan
0,9,34,5.82251925e+01
0,9,35,6.11815839e+01
0,9,36,6.01880445e+01
0,9,37,5.90345895e+01
0,9,38,6.35245795e+01
0,9,39,6.15202296e+01
0,9,40,6.36489105e+01
0,9,41,nan
0,9,42,6.40999868e+01
0,9,43,5.74186144e+01
0,9,44,nan
0,9,45,nan
0,9,46,6.03727287e+01
0,9,47,nan
0,9,48,nan
0,9,49,nan
0,9,50,5.94825453e+01
0,9,51,5.97579120e+01
0,9,52,nan
0,9,53,nan
0,9,54,nan
0,9,55,5.84250772e+01
0,9,56,5.87592189e+01
0,9,57,6.22187058e+01
0,9,58,nan
0,9,59,nan
0,9,60,nan
0,9,61,nan
0,9,62,5.95789812e+01
0,9,63,5.99402945e+01
0,9,64,6.14020418e+01
0,9,65,nan
0,9,66,nan
0,9,67,nan
0,9,68,6.14258236e+01
0,9,69,5.50609112e+01
0,9,70,6.18425744e+01
0,9,71,nan
0,9,72,nan
0,9,73,nan
0,9,74,5.78653789e+01
0,9,75,nan
0,9,76,nan
0,9,77,6.31870613e+01
0,9,78,6.41644092e+01
0,9,79,6.08235571e+01
0,9,80,nan
0,9,81,nan
0,9,82,5.83137983e+01
0,9,83,5.96445684e+01
0,9,84,5.85067239e+01
0,9,85,5.68643122e+01
0,9,86,nan
0,9,87,5.88875096e+01
0,9,88,5.77548022e+01
0,9,89,6.01749582e+01
0,9,90,nan
0,9,91,6.03163742e+01
0,9,92,5.81374675e+01
0,9,93,5.89714149e+01
0,9,94,6.02371202e+01
0,9,95,6.06648750e+01
0,9,96,5.78515915e+01
0,9,97,nan
0,9,98,6.23576328e+01
0,9,99,nan
0,10,0,6.20981830e+01
0,10,1,6.30963419e+01
0,10,2,6.05066897e+01
0,10,3,6.33325917e+01
0,10,4,nan
0,10,5,nan
0,10,6,5.81671281e+01
0,10,7,nan
0,10,8,5.56545843e+01
0,10,9,5.84574914e+01
0,10,10,5.86636765e+01
0,10,11,6.16204131e+01
0,10,12,5.53238930e+01
0,10,13,nan
0,10,14,5.77083919e+01
0,10,15,5.81836515e+01
0,10,16,nan
0,10,17,nan
0,10,18,6.30305217e+01
0,10,19,nan
0,10,20,nan
0,10,21,nan
0,10,22,nan
0,10,23,nan
0,10,24,nan
0,10,25,nan
0,10,26,5.67330643e+01
0,10,27,6.07110208e+01
0,10,28,6.15607528e+01
0,10,29,5.81257836e+01
0,10,30,nan
0,10,31,5.50099458e+01
0,10,32,nan
0,10,33,nan
0,10,34,nan
0,10,35,6.01865388e+01
0,10,36,6.02055089e+01
0,10,37,nan
0,10,38,5.88374902e+01
0,10,39,6.05376502e+01
0,10,40,6.40821512e+01
0,10,41,nan
0,10,42,6.10680933e+01
0,10,43,6.07440417e+01
0,10,44,5.59002241e+01
0,10,45,nan
0,10,46,6.15253681e+01
0,10,47,nan
0,10,48,nan
0,10,49,nan
0,10,50,nan
0,10,51,nan
0,10,52,nan
0,10,53,nan
0,10,54,nan
0,10,55,nan
0,10,56,nan
0,10,57,nan
0,10,58,nan
0,10,59,nan
0,10,60,nan
0,10,61,5.83920745e+01
0,10,62,5.88397253e+01
0,10,63,5.75005719e+01
0,10,64,5.65242594e+01
0,10,65,nan
0,10,66,nan
0,10,67,nan
0,10,68,6.23491168e+01
0,10,69,5.89158455e+01
0,10,70,nan
0,10,71,nan
0,10,72,nan
0,10,73,nan
0,10,74,6.00920746e+01
0,10,75,5.40448319e+01
0,10,76,nan
0,10,77,5.96191279e+01
0,10,78,6.11412371e+01
0,10,79,nan
0,10,80,nan
0,10,81,nan
0,10,82,5.59922460e+01
0,10,83,6.02575481e+01
0,10,84,5.93777034e+01
0,10,85,5.60699682e+01
0,10,86,5.67755569e+01
0,10,87,5.76183365e+01
0,10,88,5.64794201e+01
0,10,89,5.59079270e+01
0,10,90,5.62458258e+01
0,10,91,5.98361128e+01
0,10,92,6.11912385e+01
0,10,93,5.96807022e+01
0,10,94,nan
0,10,95,5.99405779e+01
0,10,96,6.07397290e+01
0,10,97,nan
0,10,98,nan
0,10,99,6.22301999e+01
0,11,0,6.29020888e+01
0,11,1,5.57412086e+01
0,11,2,6.15972044e+01
0,11,3,6.25347696e+01
0,11,4,6.24423797e+01
0,11,5,5.96728600e+01
0,11,6,nan
0,11,7,5.77725960e+01
0,11,8,5.64447852e+01
0,11,9,5.78136404e+01
0,11,10,5.80796901e+01
0,11,11,nan
0,11,12,6.09995143e+01
0,11,13,6.00970448e+01
0,11,14,5.72921687e+01
0,11,15,nan
0,11,16,6.16630571e+01
0,11,17,6.20579340e+01
0,11,18,6.51391185e+01
0,11,19,6.41244944e+01
0,11,20,nan
0,11,21,nan
0,11,22,nan
0,11,23,nan
0,11,24,nan
0,11,25,6.00417401e+01
0,11,26,5.80879755e+01
0,11,27,6.07690763e+01
0,11,28,6.28648695e+01
0,11,29,6.22536522e+01
0,11,30,5.74715488e+01
0,11,31,nan
0,11,32,nan
0,11,33,nan
0,11,34,nan
0,11,35,nan
0,11,36,5.84753913e+01
